train/data_paths/features,train/data_paths/label,train/preprocessing/scale,train/preprocessing/imputation/method,train/preprocessing/imputation/arguments/n_neighbors,train/preprocessing/outliers_detection/method,train/preprocessing/feature_selection/method,train/preprocessing/feature_selection/arguments/alpha,train/preprocessing/execution_order,train/model_type,train/model_config/n_estimators,train/model_config/learning_rate,train/cross_validation,train/results_path,evaluate/run,evaluate/data_paths/features,evaluate/data_paths/label,train_results,train/preprocessing/imputation/arguments/estimator_params/n_estimators,train/preprocessing/imputation/arguments/estimator_params/max_depth,train/preprocessing/imputation/arguments/mice_params/max_iter,train/preprocessing/imputation/arguments/mice_params/imputation_order,train/preprocessing/imputation/arguments/simple_params/strategy,train/preprocessing/imputation/arguments/num_corr_features
data/X_train.csv,data/y_train.csv,True,knn,20.0,isolation_forest,lasso,0.7,imputation; outliers_detection; feature_selection,ada,82,0.6695321478694677,5,results/overview.csv,True,data/X_test.csv,data/y_test_ada.csv,0.4486139938573207,,,,,,
data/X_train.csv,data/y_train.csv,True,knn,20.0,isolation_forest,lasso,0.7,imputation; outliers_detection; feature_selection,ada,100,0.700899738803237,5,results/overview.csv,True,data/X_test.csv,data/y_test_ada.csv,0.4458527215228172,,,,,,
data/X_train.csv,data/y_train.csv,True,knn,20.0,isolation_forest,lasso,0.8,imputation; outliers_detection; feature_selection,ada,88,0.5357289428526258,5,results/overview.csv,True,data/X_test.csv,data/y_test_ada.csv,0.4456861188085171,,,,,,
data/X_train.csv,data/y_train.csv,True,knn,8.0,isolation_forest,lasso,1.0,imputation; outliers_detection; feature_selection,ada,69,0.9630584212206303,5,results/overview.csv,True,data/X_test.csv,data/y_test_ada.csv,0.4432522451795144,,,,,,
data/X_train.csv,data/y_train.csv,True,knn,19.0,isolation_forest,lasso,0.8,imputation; outliers_detection; feature_selection,ada,80,0.7266215616274441,5,results/overview.csv,True,data/X_test.csv,data/y_test_ada.csv,0.4417049850343099,,,,,,
data/X_train.csv,data/y_train.csv,True,knn,18.0,isolation_forest,lasso,0.9,imputation; outliers_detection; feature_selection,ada,80,0.8037356035664595,5,results/overview.csv,True,data/X_test.csv,data/y_test_ada.csv,0.4390786688073523,,,,,,
data/X_train.csv,data/y_train.csv,True,knn,20.0,isolation_forest,lasso,0.6,imputation; outliers_detection; feature_selection,ada,88,0.5600471448821431,5,results/overview.csv,True,data/X_test.csv,data/y_test_ada.csv,0.4286517720550803,,,,,,
data/X_train.csv,data/y_train.csv,True,knn,15.0,isolation_forest,lasso,0.8,imputation; outliers_detection; feature_selection,ada,100,0.6817074268038193,5,results/overview.csv,True,data/X_test.csv,data/y_test_ada.csv,0.4283061032925485,,,,,,
data/X_train.csv,data/y_train.csv,True,knn,13.0,isolation_forest,lasso,0.6,imputation; outliers_detection; feature_selection,ada,68,0.2925192750338465,5,results/overview.csv,True,data/X_test.csv,data/y_test_ada.csv,0.4233593477634392,,,,,,
data/X_train.csv,data/y_train.csv,True,knn,8.0,isolation_forest,lasso,0.4,imputation; outliers_detection; feature_selection,ada,34,0.6215293142106384,5,results/overview.csv,True,data/X_test.csv,data/y_test_ada.csv,0.4221577619610667,,,,,,
data/X_train.csv,data/y_train.csv,True,mice,,isolation_forest,lasso,0.7,imputation; outliers_detection; feature_selection,ada,62,0.6395189069211483,5,results/overview.csv,True,data/X_test.csv,data/y_test_ada_mice.csv,0.4218653377676804,126.0,7.0,19.0,descending,mean,86.0
data/X_train.csv,data/y_train.csv,True,mice,,isolation_forest,lasso,0.9,imputation; outliers_detection; feature_selection,ada,64,0.8732905666623264,5,results/overview.csv,True,data/X_test.csv,data/y_test_ada_mice.csv,0.4204033223632786,173.0,2.0,10.0,descending,most_frequent,115.0
data/X_train.csv,data/y_train.csv,True,mice,,isolation_forest,lasso,0.2,imputation; outliers_detection; feature_selection,ada,81,0.0870822875108569,5,results/overview.csv,True,data/X_test.csv,data/y_test_ada_mice.csv,0.4202674444340277,87.0,8.0,13.0,arabic,constant,24.0
data/X_train.csv,data/y_train.csv,True,knn,5.0,isolation_forest,lasso,0.7,imputation; outliers_detection; feature_selection,ada,50,0.1,5,results/overview.csv,True,data/X_test.csv,data/y_test_ada.csv,0.4188986910754435,,,,,,
data/X_train.csv,data/y_train.csv,True,mice,,isolation_forest,lasso,0.3,imputation; outliers_detection; feature_selection,ada,68,0.1016420183517038,5,results/overview.csv,True,data/X_test.csv,data/y_test_ada_mice.csv,0.4182104977187314,157.0,9.0,8.0,descending,median,62.0
data/X_train.csv,data/y_train.csv,True,knn,13.0,isolation_forest,lasso,0.6,imputation; outliers_detection; feature_selection,ada,74,0.205346283018589,5,results/overview.csv,True,data/X_test.csv,data/y_test_ada.csv,0.417478327756577,,,,,,
data/X_train.csv,data/y_train.csv,True,mice,,isolation_forest,lasso,0.4,imputation; outliers_detection; feature_selection,ada,44,0.1531595783866942,5,results/overview.csv,True,data/X_test.csv,data/y_test_ada_mice.csv,0.4172022715320837,112.0,5.0,17.0,random,median,11.0
data/X_train.csv,data/y_train.csv,True,knn,10.0,isolation_forest,lasso,0.4,imputation; outliers_detection; feature_selection,ada,70,0.5203685755282641,5,results/overview.csv,True,data/X_test.csv,data/y_test_ada.csv,0.4170748922693318,,,,,,
data/X_train.csv,data/y_train.csv,True,mice,,isolation_forest,lasso,0.6,imputation; outliers_detection; feature_selection,ada,72,0.7960205571260304,5,results/overview.csv,True,data/X_test.csv,data/y_test_ada_mice.csv,0.4169920757408059,85.0,9.0,16.0,descending,median,74.0
data/X_train.csv,data/y_train.csv,True,mice,,isolation_forest,lasso,0.6,imputation; outliers_detection; feature_selection,ada,94,0.9601347304973752,5,results/overview.csv,True,data/X_test.csv,data/y_test_ada_mice.csv,0.4162606466238172,111.0,4.0,12.0,random,median,63.0
data/X_train.csv,data/y_train.csv,True,mice,,isolation_forest,lasso,0.0,imputation; outliers_detection; feature_selection,ada,38,0.7133355212211608,5,results/overview.csv,True,data/X_test.csv,data/y_test_ada_mice.csv,0.4156489838227874,114.0,10.0,16.0,roman,mean,
data/X_train.csv,data/y_train.csv,True,knn,12.0,isolation_forest,lasso,0.0,imputation; outliers_detection; feature_selection,ada,80,0.7580938205774873,5,results/overview.csv,True,data/X_test.csv,data/y_test_ada.csv,0.4147676580897981,,,,,,
data/X_train.csv,data/y_train.csv,True,mice,,isolation_forest,lasso,0.7,imputation; outliers_detection; feature_selection,ada,88,0.6191790395416319,5,results/overview.csv,True,data/X_test.csv,data/y_test_ada_mice.csv,0.4109504119057668,130.0,7.0,16.0,ascending,constant,129.0
data/X_train.csv,data/y_train.csv,True,mice,,isolation_forest,lasso,0.6,imputation; outliers_detection; feature_selection,ada,65,0.478716683331877,5,results/overview.csv,True,data/X_test.csv,data/y_test_ada_mice.csv,0.4102011247248337,80.0,8.0,19.0,ascending,most_frequent,37.0
data/X_train.csv,data/y_train.csv,True,mice,,isolation_forest,lasso,0.3,imputation; outliers_detection; feature_selection,ada,58,0.7658719615172594,5,results/overview.csv,True,data/X_test.csv,data/y_test_ada_mice.csv,0.4087452459403637,83.0,6.0,16.0,descending,median,22.0
data/X_train.csv,data/y_train.csv,True,mice,,isolation_forest,lasso,0.7,imputation; outliers_detection; feature_selection,ada,91,0.3890345442947,5,results/overview.csv,True,data/X_test.csv,data/y_test_ada_mice.csv,0.4080189958968832,149.0,5.0,8.0,roman,mean,73.0
data/X_train.csv,data/y_train.csv,True,knn,13.0,isolation_forest,lasso,0.4,imputation; outliers_detection; feature_selection,ada,10,0.3996172597259283,5,results/overview.csv,True,data/X_test.csv,data/y_test_ada.csv,0.4072189395947519,,,,,,
data/X_train.csv,data/y_train.csv,True,mice,,isolation_forest,lasso,0.5,imputation; outliers_detection; feature_selection,ada,50,0.1,5,results/overview.csv,True,data/X_test.csv,data/y_test_ada_mice.csv,0.4066728679345169,100.0,5.0,10.0,descending,mean,50.0
data/X_train.csv,data/y_train.csv,True,mice,,isolation_forest,lasso,0.1,imputation; outliers_detection; feature_selection,ada,25,0.8644592835940421,5,results/overview.csv,True,data/X_test.csv,data/y_test_ada_mice.csv,0.4043569465422003,129.0,4.0,12.0,ascending,median,58.0
data/X_train.csv,data/y_train.csv,True,mice,,isolation_forest,lasso,0.5,imputation; outliers_detection; feature_selection,ada,13,0.5545877566654235,5,results/overview.csv,True,data/X_test.csv,data/y_test_ada_mice.csv,0.4027091920895976,163.0,9.0,10.0,roman,mean,15.0
data/X_train.csv,data/y_train.csv,True,mice,,isolation_forest,lasso,0.4,imputation; outliers_detection; feature_selection,ada,54,0.9799486357998104,5,results/overview.csv,True,data/X_test.csv,data/y_test_ada_mice.csv,0.4012150660405994,189.0,6.0,17.0,ascending,median,
data/X_train.csv,data/y_train.csv,True,mice,,isolation_forest,lasso,0.5,imputation; outliers_detection; feature_selection,ada,50,0.1,5,results/overview.csv,True,data/X_test.csv,data/y_test_ada_mice.csv,0.3990863324079482,100.0,5.0,10.0,descending,mean,
data/X_train.csv,data/y_train.csv,True,mice,,isolation_forest,lasso,0.3,imputation; outliers_detection; feature_selection,ada,85,0.2834197361115366,5,results/overview.csv,True,data/X_test.csv,data/y_test_ada_mice.csv,0.3978114245831477,92.0,2.0,7.0,descending,most_frequent,82.0
data/X_train.csv,data/y_train.csv,True,mice,,isolation_forest,lasso,0.7,imputation; outliers_detection; feature_selection,ada,22,0.5248156414460391,5,results/overview.csv,True,data/X_test.csv,data/y_test_ada_mice.csv,0.3952820148607928,99.0,8.0,6.0,ascending,mean,
data/X_train.csv,data/y_train.csv,True,mice,,isolation_forest,lasso,0.3,imputation; outliers_detection; feature_selection,ada,33,0.8363762765936553,5,results/overview.csv,True,data/X_test.csv,data/y_test_ada_mice.csv,0.394254220364334,51.0,3.0,17.0,random,mean,112.0
data/X_train.csv,data/y_train.csv,True,mice,,isolation_forest,lasso,0.6,imputation; outliers_detection; feature_selection,ada,22,0.4183892151713371,5,results/overview.csv,True,data/X_test.csv,data/y_test_ada_mice.csv,0.3936563829605108,122.0,3.0,9.0,arabic,constant,66.0
data/X_train.csv,data/y_train.csv,True,mice,,isolation_forest,lasso,0.8,imputation; outliers_detection; feature_selection,ada,13,0.2792073409352452,5,results/overview.csv,True,data/X_test.csv,data/y_test_ada_mice.csv,0.3907278016131625,51.0,6.0,17.0,arabic,mean,122.0
data/X_train.csv,data/y_train.csv,True,mice,,isolation_forest,lasso,0.7,imputation; outliers_detection; feature_selection,ada,62,0.6395189069211483,5,results/overview.csv,True,data/X_test.csv,data/y_test_ada_mice.csv,0.405411903383866,126,7,19,descending,mean,86
